,region,floor,total_area,living_area,kitchen_area,floors_total,rooms
305,Орджоникидзевский,2,65.8,44.0,10.0,14,3
306,Орджоникидзевский,8,50.0,38.0,9.0,9,2
307,Правобережный,1,43.7,30.0,6.5,5,2
308,Правобережный,4,32.0,21.0,6.0,5,1
309,Орджоникидзевский,1,69.0,40.0,15.0,1,2
310,Unknow,1,73.0,50.0,12.0,10,2
311,Unknow,2,52.0,45.0,7.0,2,2
312,Unknow,5,30.4,17.0,6.0,5,1
313,Unknow,1,26.0,18.0,2.0,3,1
314,Орджоникидзевский,7,65.1,42.9,8.0,9,3
315,Правобережный,3,65.0,42.0,9.0,10,3
316,Орджоникидзевский,9,67.0,42.0,9.0,10,3
317,Ленинский (левый берег),3,57.2,42.0,8.0,3,2
318,Правобережный,1,55.7,41.0,7.0,5,3
319,Ленинский,2,82.1,53.0,8.1,5,3
320,Правобережный,3,42.0,27.0,6.0,9,2
321,Орджоникидзевский,9,43.6,19.3,13.0,10,1
322,Орджоникидзевский,1,30.4,17.0,6.0,5,1
323,Орджоникидзевский,5,65.1,38.0,12.0,10,2
324,Орджоникидзевский,5,32.0,19.0,8.0,9,1
325,Правобережный,1,47.0,30.0,7.0,5,2
326,Правобережный,9,152.0,67.0,19.3,17,3
327,Unknow,2,65.3,40.0,8.0,2,3
328,Орджоникидзевский,2,43.5,30.0,6.0,2,2
329,Орджоникидзевский,8,60.0,45.0,8.0,10,3
330,Unknow,1,37.0,17.4,7.0,3,1
331,Орджоникидзевский,2,50.0,24.0,12.7,3,2
332,Правобережный,2,30.4,18.0,6.0,5,1
333,Орджоникидзевский,13,53.0,30.0,14.0,16,1
334,Unknow,4,35.0,20.0,4.0,5,1
335,Орджоникидзевский,5,49.0,30.0,9.0,9,2
336,Unknow,3,76.8,48.0,9.0,4,3
337,Unknow,2,90.0,60.0,7.0,2,3
338,Unknow,10,31.8,17.0,8.0,10,1
339,Unknow,1,79.0,57.0,10.0,1,3
340,Unknow,3,16.5,16.5,3.4,5,1
341,Unknow,1,50.0,29.0,5.0,1,3
342,Unknow,1,43.4,29.5,6.0,5,2
343,Ленинский,2,31.0,16.0,6.0,5,1
344,Орджоникидзевский,5,109.0,66.7,13.1,9,3
345,Ленинский,2,41.0,23.7,6.0,5,2
346,Unknow,5,59.5,25.0,12.0,5,1
347,Орджоникидзевский,8,43.7,20.0,14.0,10,1
348,Unknow,1,18.0,18.0,18.0,1,1
349,Unknow,1,35.7,25.0,10.0,1,1
350,Орджоникидзевский,2,67.0,45.0,8.0,5,3
351,Unknow,1,220.0,150.0,20.0,1,4
352,Unknow,1,35.0,18.0,6.0,1,1
353,Unknow,6,67.0,39.5,8.1,10,3
354,Ленинский,1,33.0,18.0,6.0,5,1
355,Unknow,1,60.4,45.0,11.0,1,3
356,Ленинский,2,51.7,29.8,9.0,4,2
357,Орджоникидзевский (левый берег),2,68.0,53.0,6.0,5,3
358,Орджоникидзевский (левый берег),3,91.0,70.0,10.0,4,4
359,Ленинский,1,83.3,53.2,9.4,4,3
360,Unknow,5,44.7,29.0,6.5,5,2
361,Орджоникидзевский,2,109.0,70.0,16.0,10,3
362,Ленинский,3,55.0,33.0,6.0,3,2
363,Орджоникидзевский,1,81.0,68.0,8.0,9,4
364,Ленинский,2,40.6,23.4,5.6,10,2
365,Орджоникидзевский,3,56.5,34.7,8.4,10,2
366,Орджоникидзевский,5,62.0,45.0,6.0,5,4
367,Ленинский,5,46.0,29.0,6.0,5,3
368,Ленинский,5,56.0,33.5,9.0,5,2
369,Правобережный,1,56.0,36.0,6.0,4,3
370,Ленинский,4,55.0,32.5,8.99,4,2
371,Правобережный,5,65.4,45.0,9.0,9,3
372,Unknow,5,76.0,50.0,8.0,5,3
373,Unknow,6,50.0,31.0,9.0,9,2
374,Unknow,7,50.55,32.0,9.0,9,2
375,Unknow,2,94.3,64.0,9.0,3,4
376,Орджоникидзевский,2,43.1,18.8,11.1,10,1
377,Unknow,5,61.5,38.7,7.8,5,3
378,Unknow,5,37.8,19.0,10.1,5,1
379,Unknow,3,42.7,14.0,10.0,4,1
380,Unknow,1,55.0,25.0,30.0,1,2
381,Unknow,2,23.0,17.0,4.8,4,1
382,Unknow,1,48.7,33.0,8.0,2,3
383,Орджоникидзевский,1,66.0,45.0,9.0,5,3
384,Ленинский,3,44.2,35.0,6.0,5,2
385,Правобережный,3,44.0,30.0,6.0,5,2
386,Unknow,2,59.6,32.0,12.9,3,2
387,Орджоникидзевский,11,36.0,18.0,9.0,12,1
388,Unknow,2,44.0,30.0,8.0,2,2
389,Орджоникидзевский,2,49.0,36.0,8.0,5,2
390,Ленинский,1,60.0,34.0,9.0,5,2
391,Орджоникидзевский,7,65.6,42.0,9.0,9,3
392,Unknow,1,21.9,18.0,1.0,3,1
393,Правобережный,1,47.6,47.6,25.0,3,2
394,Unknow,4,62.7,47.0,7.0,5,3
395,Орджоникидзевский,4,54.7,40.0,8.0,4,2
396,Unknow,5,63.0,38.0,11.4,9,2
397,Unknow,5,49.0,34.0,8.0,9,2
398,Правобережный,5,34.0,20.0,7.0,9,1
399,Ленинский,2,34.5,20.0,10.0,4,1
400,Unknow,1,100.0,65.0,25.0,1,2
401,Орджоникидзевский,2,41.0,30.0,6.0,5,2
402,Unknow,1,69.0,50.0,6.0,2,4
403,Unknow,1,19.0,16.5,3.9,2,1
404,Правобережный,1,43.2,28.0,6.5,5,2
405,Ленинский,1,60.0,40.0,9.0,4,2
406,Ленинский,1,42.0,30.0,6.0,5,2
407,Ленинский,1,44.0,29.0,7.0,5,2
408,Unknow,1,59.0,35.0,8.0,2,3
409,Ленинский,1,59.0,33.0,9.0,3,2
410,Ленинский,4,62.8,38.0,9.0,5,2
411,Unknow,5,42.9,26.0,5.9,5,2
412,Орджоникидзевский,2,56.5,35.0,9.0,10,2
413,Ленинский,3,31.0,20.0,7.0,5,1
414,Орджоникидзевский,1,35.0,25.0,10.0,1,2
415,Ленинский,2,47.9,10.0,8.0,4,2
416,Орджоникидзевский,2,50.0,36.0,12.0,3,2
417,Орджоникидзевский,2,78.0,62.7,15.0,3,2
418,Орджоникидзевский,2,55.7,29.5,12.7,3,2
419,Unknow,1,35.0,16.4,10.0,1,1
420,Правобережный,6,21.6,18.0,6.0,9,1
421,Unknow,2,86.4,65.0,10.0,2,4
422,Unknow,2,129.1,85.0,20.0,2,4
423,Правобережный,5,26.0,14.0,7.0,16,1
424,Unknow,2,16.0,14.0,2.0,2,1
425,Unknow,1,47.3,27.3,10.0,5,2
426,Unknow,2,22.5,15.0,5.0,5,1
427,Правобережный,1,67.2,45.0,12.0,2,3
428,Unknow,3,77.8,46.5,11.4,3,4
429,Ленинский,5,74.0,56.0,9.0,5,3
430,Unknow,1,41.0,22.2,7.2,5,2
431,Орджоникидзевский,3,50.0,30.0,9.0,9,2
432,Орджоникидзевский,7,65.0,43.0,9.0,9,3
